1,User,100,1000,"[{""food_item_name"": ""movie"", ""quantity"": 2, ""add_extra"": ""claim"", ""price_of_extra"": 1.53, ""ingredients_to_remove"": [""reach"", ""nearly"", ""important""]}]",12.92,2025-01-08 20:26,Curbside
2,User,101,1001,"[{""food_item_name"": ""process"", ""quantity"": 2, ""add_extra"": ""one"", ""price_of_extra"": 1.31, ""ingredients_to_remove"": [""behavior"", ""American"", ""music""]}]",21.5,2025-02-03 09:11,Delivery
3,Guest,102,1002,"[{""food_item_name"": ""positive"", ""quantity"": 3, ""add_extra"": ""with"", ""price_of_extra"": 9.69, ""ingredients_to_remove"": [""building"", ""soldier"", ""million""]}]",59.45,2025-02-10 07:45,Pick Up
4,Guest,103,1003,"[{""food_item_name"": ""lead"", ""quantity"": 3, ""add_extra"": ""case"", ""price_of_extra"": 2.16, ""ingredients_to_remove"": [""network"", ""drug"", ""around""]}]",23.58,2025-02-08 18:12,Pick Up
5,Guest,104,1004,"[{""food_item_name"": ""suggest"", ""quantity"": 3, ""add_extra"": ""someone"", ""price_of_extra"": 1.79, ""ingredients_to_remove"": [""else"", ""when"", ""recently""]}]",94.88,2025-02-07 13:04,Pick Up
6,Guest,105,1005,"[{""food_item_name"": ""song"", ""quantity"": 2, ""add_extra"": ""fill"", ""price_of_extra"": 8.45, ""ingredients_to_remove"": [""decision"", ""up"", ""American""]}]",54.14,2025-02-13 23:31,Curbside
7,User,106,1006,"[{""food_item_name"": ""generation"", ""quantity"": 1, ""add_extra"": ""well"", ""price_of_extra"": 6.92, ""ingredients_to_remove"": [""sister"", ""bag"", ""offer""]}]",12.3,2025-01-29 17:29,Curbside
8,Guest,107,1007,"[{""food_item_name"": ""against"", ""quantity"": 1, ""add_extra"": ""blue"", ""price_of_extra"": 8.31, ""ingredients_to_remove"": [""seat"", ""finish"", ""table""]}]",30.18,2025-01-18 03:41,Curbside
9,Guest,108,1008,"[{""food_item_name"": ""stuff"", ""quantity"": 2, ""add_extra"": ""available"", ""price_of_extra"": 9.78, ""ingredients_to_remove"": [""Mrs"", ""three"", ""nearly""]}]",18.79,2025-01-15 20:24,Curbside
10,User,109,1009,"[{""food_item_name"": ""method"", ""quantity"": 2, ""add_extra"": ""suffer"", ""price_of_extra"": 4.01, ""ingredients_to_remove"": [""visit"", ""official"", ""act""]}]",30.01,2025-01-22 21:27,Curbside
11,User,110,1010,"[{""food_item_name"": ""later"", ""quantity"": 1, ""add_extra"": ""age"", ""price_of_extra"": 5.3, ""ingredients_to_remove"": [""attention"", ""time"", ""finish""]}]",46.14,2025-02-10 12:48,Delivery
12,User,111,1011,"[{""food_item_name"": ""yeah"", ""quantity"": 4, ""add_extra"": ""home"", ""price_of_extra"": 8.79, ""ingredients_to_remove"": [""sometimes"", ""job"", ""site""]}]",73.1,2025-01-04 00:05,Delivery
